rank,index,latitude,longitude,reward,heat_vulnerability,population_impact,accessibility,equity,coverage_efficiency
1,825,34.04735240686928,-118.29320565074266,0.6658296052172527,0.8140542576729031,0.47579337461269033,0.2524839548614,0.827264520995694,1.0
2,616,33.96051430515196,-118.5296516164753,0.5863022777452337,0.6898430857752429,0.39006280532386967,0.4637537384389048,0.5185229041806373,1.0
3,1947,34.524961966314535,-117.7152266233962,0.624749975907088,0.6520725126187952,0.242716164444993,0.8208004472198432,0.7515032553085669,1.0
4,1306,34.26444766116258,-118.79236935617824,0.5891594505353026,0.7523946193719541,0.2452158674957583,0.5551505108834578,0.5416319349910698,1.0
5,2534,34.78547627146649,-118.05675968501002,0.5910238856193891,0.7212197157171721,0.20443148071973571,0.6559636280370397,0.5939638048859267,1.0
6,1096,34.15590003401593,-117.7414983973665,0.5580821873030419,0.704716411635359,0.2425634908709936,0.6147221939317907,0.3905482761543286,1.0
7,1264,34.24273813573325,-118.5821951644159,0.5711260016906875,0.7327017457767763,0.3977469517076283,0.25598124693706215,0.5123097713423289,1.0
8,236,33.78683810171732,-118.00421613706943,0.5307452093081885,0.5781733264886325,0.27971070068647985,0.6322341084406754,0.42414502399630544,1.0
9,777,34.02564288143995,-118.24066210280208,0.6410529990313127,0.7926656311838479,0.4245490264760058,0.3475356382735577,0.7023495050462057,1.0
10,291,33.80854762714665,-117.87285726721797,0.5939753543237491,0.7318648846269077,0.24709435520172557,0.6511916492743968,0.5224687234182707,1.0
11,22,33.7,-118.37202097265354,0.5604003702088298,0.6056541542625262,0.3362457933966381,0.5387199576158557,0.557013161502719,1.0
12,796,34.02564288143995,-117.7414983973665,0.6704410050235582,0.7153787081853166,0.3227365857209579,0.795827996289242,0.8000007419004778,1.0
13,1524,34.3512857628799,-118.31947742471296,0.5332640812970396,0.6535854694170928,0.18101319520980647,0.4586321254090565,0.6030736625816473,1.0
14,2601,34.82889532232515,-118.92372822602972,0.5840209222267341,0.7275048359454787,0.20409658824366217,0.6561250264251508,0.5330088574741892,1.0
15,830,34.04735240686928,-118.1618467808912,0.5758016897993904,0.6312839690052094,0.4994087619855323,0.22625413335748562,0.640413267650408,1.0
16,2447,34.74205722060783,-117.7152266233962,0.646189493637869,0.7212197157171721,0.13658138571296677,0.9131532103889279,0.8176284343351862,1.0
17,2039,34.568381017173195,-117.92540081515855,0.5960771871012219,0.5661124377290881,0.30094876794518866,0.7478629060527923,0.736808040012167,1.0
18,1270,34.24273813573325,-118.42456452059412,0.636338997385295,0.6985735692276316,0.5819946511691836,0.31343968861094795,0.6621575471445725,1.0
19,875,34.06906193229861,-118.29320565074266,0.6578361200339423,0.7482551586726189,0.5175396115903057,0.27589037759225,0.8345223664140792,1.0
20,335,33.83025715257598,-118.03048791103971,0.6004185005205249,0.6655764554040198,0.3110544024984429,0.622138918970534,0.6425486843928484,1.0
21,2037,34.568381017173195,-117.97794436309914,0.5986543630619254,0.5893235083184732,0.2998918974785535,0.7504637329456159,0.6989906722598607,1.0
22,1886,34.503252440885205,-118.00421613706943,0.625425687543123,0.6520725126187952,0.24829968878615422,0.8159993175581413,0.7515032553085669,1.0
23,2017,34.568381017173195,-118.503379842505,0.5726766984556209,0.6195325466651197,0.2755125931027472,0.6525621430806678,0.5938522492336129,1.0
24,623,33.96051430515196,-118.34574919868324,0.706548272307065,0.7958168376397841,0.5644881484299918,0.4417219793153065,0.8042136341889777,1.0
25,461,33.89538572886397,-118.66101048632676,0.5400225283897029,0.6048097948541873,0.2583440438930429,0.6167393177455097,0.47494794370433463,1.0
26,2389,34.7203476951785,-117.92540081515855,0.6329393949299164,0.7212197157171721,0.16295227270350351,0.8201375702781895,0.7783586047420123,1.0
27,1424,34.30786671202124,-118.31947742471296,0.5289773379629135,0.6535854694170928,0.23518383459803585,0.3397694375344994,0.6030736625816473,1.0
28,344,33.83025715257598,-117.79404194530709,0.5402204596414499,0.5498285954420827,0.2254687587266229,0.6539258936594264,0.6221625167076756,1.0
29,798,34.02564288143995,-117.68895484942593,0.618747599378001,0.765954436678636,0.2181080514297358,0.6542464252829158,0.6533304659373801,1.0
30,2144,34.611800068031854,-117.79404194530709,0.6200779149395155,0.6243597486685243,0.13757115638660855,0.912935667718005,0.8681257576745269,1.0
31,1147,34.17760955944526,-117.7152266233962,0.5213497757135054,0.6423169673731712,0.10444444331042897,0.6180051533140435,0.5181796887212112,1.0
32,482,33.89538572886397,-118.1093032329506,0.6964195036777778,0.7619786042050604,0.5313337565884495,0.6085916840314171,0.704032003027879,1.0
33,1703,34.438123864597216,-118.87118467808912,0.6066916888940475,0.7691231713196245,0.21183945000389667,0.64692095160937,0.583337157931995,1.0
34,629,33.96051430515196,-118.18811855486148,0.7004444322981748,0.832496522972952,0.4878497933084328,0.4556445313953447,0.7917434748082108,1.0
35,2547,34.78547627146649,-117.7152266233962,0.6461690598312374,0.7212197157171721,0.1364921563589888,0.9131657006013472,0.8176284343351862,1.0
36,499,33.89538572886397,-117.66268307545562,0.6176211045735372,0.765954436678636,0.21294479538827027,0.6553418866556006,0.6533304659373801,1.0
37,522,33.9170952542933,-118.37202097265354,0.6463922461663932,0.7614528073287201,0.5929679089724795,0.3392380382909842,0.5383738707638249,1.0
38,117,33.74341905085866,-118.503379842505,0.554415894016573,0.6056541542625262,0.27761451851011126,0.5965422411450213,0.557013161502719,1.0
39,166,33.76512857628799,-118.5296516164753,0.5620783721045249,0.6300667548469661,0.26617151527494676,0.6062346871740748,0.5605128400882595,1.0
40,760,34.02564288143995,-118.68728226029708,0.5799629318283726,0.6737292432623244,0.32013378186266644,0.5761850836038436,0.5179765912021057,1.0
41,1892,34.503252440885205,-117.84658549324767,0.6252295062348271,0.6520725126187952,0.2451398823559845,0.8199577862197844,0.7515032553085669,1.0
42,739,34.00393335601062,-117.92540081515855,0.6826326906818,0.8507975771291862,0.3500149860051245,0.6111170737883815,0.7045482074469765,1.0
43,1402,34.30786671202124,-118.89745645205942,0.5945775769498817,0.7523946193719541,0.22187078416194,0.6301798258703487,0.5416319349910698,1.0
44,1965,34.546671491743865,-118.5559233904456,0.5998693422925763,0.666039103730431,0.2772755541248253,0.6498118070805305,0.6664333092909303,1.0
45,2525,34.78547627146649,-118.29320565074266,0.6054150255891559,0.6614526330814716,0.22496145248966465,0.7783002558082315,0.6728080167799332,1.0
46,897,34.06906193229861,-117.7152266233962,0.5815942905836301,0.7155248840816694,0.2225188305386311,0.6532204027191156,0.5169854207501376,1.0
47,2521,34.78547627146649,-118.39829274662384,0.566157867256386,0.6405454820369787,0.17121609878245303,0.7530127907468048,0.5747400349053964,1.0
48,61,33.72170952542933,-118.66101048632676,0.5481621875212731,0.6056541542625262,0.22251579116841652,0.6466820767458465,0.557013161502719,1.0
49,1599,34.37299528830923,-117.66268307545562,0.5182330769632506,0.6423169673731712,0.09059789025286658,0.6203047500749489,0.5181796887212112,1.0
50,2484,34.76376674603716,-118.05675968501002,0.6324204307906529,0.6511949565040595,0.2849764247798868,0.8280430342530877,0.7270108978753156,1.0
